Date,flood runoff
03-11-2024,2.9470794
04-11-2024,2.938962
05-11-2024,2.8459382
06-11-2024,2.9293094
07-11-2024,2.921822
08-11-2024,2.9591558
09-11-2024,3.008523
10-11-2024,3.0400834
11-11-2024,3.009128
12-11-2024,2.8919754
13-11-2024,2.9507067
14-11-2024,2.9188442
15-11-2024,2.932818
16-11-2024,2.9605408
17-11-2024,2.972803
18-11-2024,2.925442
19-11-2024,2.795218
20-11-2024,2.8445427
21-11-2024,2.8071465
22-11-2024,2.8195438
23-11-2024,2.8496068
24-11-2024,2.8679652
25-11-2024,2.83018
26-11-2024,2.7126353
27-11-2024,2.777275
28-11-2024,2.7572923
29-11-2024,2.7886076
30-11-2024,2.8384647
01-12-2024,2.8768518
02-12-2024,2.858694
03-12-2024,2.759765
04-12-2024,2.8414445
05-12-2024,2.8364215
06-12-2024,2.880191
07-12-2024,2.9396603
08-12-2024,2.9845793
09-12-2024,2.969739
10-12-2024,2.8708863
11-12-2024,2.9494824
12-12-2024,2.9383984
13-12-2024,2.9734073
14-12-2024,3.0217795
15-12-2024,3.0537007
16-12-2024,3.0244546
17-12-2024,2.9103224
18-12-2024,2.973321
19-12-2024,2.946884
20-12-2024,2.9673326
21-12-2024,3.0024545
22-12-2024,3.0229049
23-12-2024,2.9843748
24-12-2024,2.8634772
25-12-2024,2.9224753
