Date,weekly runoff
29-11-2024,10.324287
30-11-2024,10.348415
01-12-2024,10.369334
02-12-2024,10.378459
03-12-2024,10.388354
04-12-2024,10.4031725
05-12-2024,10.411628
06-12-2024,10.417527
07-12-2024,10.4215555
08-12-2024,10.424295
09-12-2024,10.417811
10-12-2024,10.415244
11-12-2024,10.421215
12-12-2024,10.424801
13-12-2024,10.4300375
14-12-2024,10.43771
15-12-2024,10.448359
16-12-2024,10.453874
17-12-2024,10.46708
18-12-2024,10.492164
19-12-2024,10.517644
20-12-2024,10.546906
21-12-2024,10.58
22-12-2024,10.61667
23-12-2024,10.647967
24-12-2024,10.685869
25-12-2024,10.733715
